arc_type,rel_pin,rel_pin_dir,constr_pin_dir,probe_pattern,num_rules,num_cell_patterns,template
hold,WWL1,fall,rise,contains_QN_QN0_QN1,1,1,hold/template__basemeg__WWL1__fall__rise__glitch__minq__1.sp
hold,WWL1,fall,rise,none,1,1,hold/template__basemeg__WWL1__fall__rise__glitch__maxq__1.sp
hold,WWL1_N,rise,rise,contains_QN_QN0_QN1,1,1,hold/template__basemeg__WWL1_N__rise__rise__glitch__minq__1.sp
hold,WWL1_N,rise,rise,none,1,1,hold/template__basemeg__WWL1_N__rise__rise__glitch__maxq__1.sp
hold,WWL1,fall,fall,contains_QN_QN0_QN1,1,1,hold/template__basemeg__WWL1__fall__fall__glitch__maxq__1.sp
hold,WWL1,fall,fall,none,1,1,hold/template__basemeg__WWL1__fall__fall__glitch__minq__1.sp
hold,WWL1_N,rise,fall,contains_QN_QN0_QN1,1,1,hold/template__basemeg__WWL1_N__rise__fall__glitch__maxq__1.sp
hold,WWL1_N,rise,fall,none,1,1,hold/template__basemeg__WWL1_N__rise__fall__glitch__minq__1.sp
hold,CLK,fall,fall,none,1,1,hold/template__SLH__fall__SE__fall__glitch__maxq__1.sp
hold,CLK,fall,rise,none,1,1,hold/template__SLH__fall__SE__rise__glitch__minq__1.sp
hold,E,rise,fall,none,1,1,hold/template__common__rise__fall__1.sp
hold,E,fall,rise,contains_Q,1,1,hold/template__latch__fall__rise__glitch__maxq__1.sp
hold,E,fall,fall,contains_Q,1,1,hold/template__latch__fall__fall__glitch__minq__1.sp
hold,CLK*|EN|ISO,rise,rise,contains_Q,1,1,hold/template__latch__rise__rise__glitch__maxq__1.sp
hold,CLK*|EN|ISO,rise,rise,contains_QN,1,1,hold/template__latch__rise__rise__glitch__minq__1.sp
hold,CLK*|EN|ISO,rise,fall,contains_Q,1,1,hold/template__latch__rise__fall__glitch__minq__1.sp
hold,CLK*|EN|ISO,rise,fall,contains_QN,1,1,hold/template__latch__rise__fall__glitch__maxq__1.sp
hold,CLK*|EN|ISO,rise,rise,none,1,1,hold/template__latch__rise__rise__glitch__maxq__1.sp
hold,CLK*|EN|ISO,rise,fall,none,1,1,hold/template__latch__rise__fall__glitch__minq__1.sp
hold,CLK,rise,fall,contains_Q,1,1,hold/template__ESLH__latch__rise__fall__pushout__1.sp
hold,CLK,fall,rise,contains_Q,1,1,hold/template__ESLH__latch__fall__rise__glitch__maxq__1.sp
hold,CP,rise,rise,contains_QN,1,1,hold/template__latch__rise__rise__glitch__minq__1.sp
hold,CP,rise,fall,contains_QN,1,1,hold/template__latch__rise__fall__pushout__1.sp
hold,CLK|CP,rise,fall,none,1,1,hold/template__RCB__rise__fall__pushout__maxq__1.sp
hold,CLK|CP,fall,rise,none,1,1,hold/template__RCB__fall__rise__pushout__minq__1.sp
non_seq_hold,CD,fall,rise,contains_Q_bl_bx|len_2,1,1,non_seq_hold/template__latch__fall__rise__glitch__minq_maxbl_bx__2.sp
non_seq_hold,CD,fall,rise,contains_Q_sl_ax|len_2,1,1,non_seq_hold/template__latch__fall__rise__glitch__minq_maxsl_ax__2.sp
non_seq_hold,SDN,rise,fall,contains_Q_bl_bx|len_2,1,1,non_seq_hold/template__latch__rise__fall__glitch__maxq_minbl_bx__2.sp
non_seq_hold,SDN,rise,fall,contains_Q_sl_ax|len_2,1,1,non_seq_hold/template__latch__rise__fall__glitch__maxq_minsl_ax__2.sp
non_seq_hold,RETN,fall,fall,contains_Q_bl_b|len_2,1,1,non_seq_hold/template__retn__nonseq__RETN__fall__SDN__fall__glitch__maxq__maxbl_b__2.sp
non_seq_hold,RETN,fall,rise,contains_Q_bl_b|len_2,1,1,non_seq_hold/template__retn__nonseqhold__RETN__fall__CD__rise__glitch__minq__minbl_b__2.sp
non_seq_hold,RETN,fall,rise,contains_Q_sl_b|len_2,1,1,non_seq_hold/template__retn__nonseq__RETN__fall__CD__rise__glitch__minq__minsl_b__2.sp
non_seq_hold,RETN,rise,fall,contains_Q_sl_b|len_2,1,1,non_seq_hold/template__retn__nonseq__RETN__rise__CD__fall__glitch__minq__minsl_b__2.sp
nochange_low_low,RETN,rise,rise,contains_Q_bl_b|len_2,1,1,nochange_low_low/template__retn__nonseq__RETN__rise__CD__rise__pushout__2.sp
nochange_low_high,RETN,rise,fall,contains_Q_bl_b|len_2,1,1,nochange_low_high/template__retn__nonseqsetup__RETN__rise__SDN__fall__pushout__2.sp
non_seq_setup,RETN,fall,fall,contains_Q_bl_b|len_2,1,1,non_seq_setup/template__retn__nonseqsetup__RETN__fall__SDN__fall__pushout__2.sp
non_seq_setup,RETN,rise,rise,contains_Q_bl_b|len_2,1,1,non_seq_setup/template__retn__nonseqsetup__RETN__rise__SDN__rise__glitch__maxq__maxbl_b__2.sp
non_seq_setup,RETN,fall,rise,contains_Q_bl_b|len_2,1,1,non_seq_setup/template__retn__nonseqsetup__RETN__fall__CD__rise__pushout__2.sp
non_seq_setup,RETN,rise,fall,contains_Q_bl_b|len_2,1,1,non_seq_setup/template__retn__nonseqsetup__RETN__rise__CD__fall__glitch__minq__minbl_b__2.sp
non_seq_setup,RETN,rise,rise,contains_Q_sl_b|len_2,1,1,non_seq_setup/template__retn__nonseqsetup__RETN__rise__SDN__rise__glitch__maxq__maxsl_b__2.sp
non_seq_setup,RETN,fall,rise,contains_Q_sl_b|len_2,1,1,non_seq_setup/template__retn__nonseqsetup__RETN__fall__CD__rise__pushout__2.sp
non_seq_setup,RETN,rise,fall,contains_Q_sl_b|len_2,1,1,non_seq_setup/template__retn__nonseqsetup__RETN__rise__CD__fall__glitch__minq__minsl_b__2.sp
non_seq_setup,RETN,rise,rise,contains_Q_sl_ax|len_2,1,1,non_seq_setup/template__retn__nonseqsetup__RSNB__RETN__rise__SDN__rise__pushout__2.sp
non_seq_setup,RETN,rise,fall,contains_Q_sl_ax|len_2,1,1,non_seq_setup/template__retn__nonseqsetup__RSNB__RETN__rise__CD__fall__pushout__2.sp
non_seq_hold,RETN,fall,fall,contains_Q_sl_ax_sl_bx|len_2,1,1,non_seq_hold/template__retn__nonseqhold__RETN__fall__SDN__fall__notCD__glitch__maxq__minqx__2.sp
non_seq_hold,RETN,fall,rise,contains_Q_sl_ax_sl_bx|len_2,1,1,non_seq_hold/template__retn__nonseqhold__RETN__fall__CD__rise__SDN__glitch__minq__maxqx__2.sp
unknown,[],null,null,contains_bl_b|len_4,1,1,nochange_low_low/template__retn__nonseqhold__RETN__rise__CD__rise__pushout__4.sp
unknown,[],null,null,contains_sl_ax_sl_bx,1,1,nochange_high_low/template__retn__nonseqhold__RETN__rise__SDN__fall__notCD__pushout__minq__maxqx__2.sp
unknown,[],null,null,contains_bl_b_sl_a_sl_b,1,1,nochange_high_low/template__retn__nonseqhold__RETN__rise__SDN__fall__notCD__pushout__2.sp
removal,CP,fall,rise,contains_Q2_bl2_b|len_2,1,1,hold/template__retn__removal__fall__rise__glitch__minq__2.sp
removal,CP,fall,rise,contains_Q1_bl1_b|len_2,1,1,hold/template__retn__removal__fall__rise__glitch__minq__2.sp
removal,CP,fall,rise,contains_Q3_bl3_b|len_2,1,1,hold/template__retn__removal__fall__rise__glitch__minq__2.sp
removal,CP,fall,rise,contains_Q4_bl4_b|len_2,1,1,hold/template__retn__removal__fall__rise__glitch__minq__2.sp
removal,CP,rise,fall,len_2,1,1,hold/template__retn__removal__notD__rise__fall__pushout__2.sp
removal,CP,fall,fall,contains_Q|len_1,1,1,hold/template__latch__fall__fall__glitch__maxq__1.sp
removal,CPN,fall,fall,contains_Q|len_2,1,1,hold/template__latch__fall__fall__glitch__maxq__2.sp
